Sl.No.,State/UT,Number of exclusive POCSO Courts,Cases registered under exclusive POCSO Courts since 2019 till 31-05-2024,Cumulative Disposal by exclusive POCSO Courts since 2019 till 31-05-2024
1,Andhra Pradesh,16,11774,4899
2,Assam,17,11756,5893
3,Bihar,46,30203,11798
4,Chandigarh,0,0,0
5,Chhattisgarh,11,5749,4044
6,Delhi,11,3985,1262
7,Goa,0,34,34
8,Gujarat,24,14524,9793
9,Haryana,12,7649,4675
10,Himachal Pradesh,3,1504,1126
11,Jammu and Kashmir,2,421,101
12,Jharkhand,16,7663,4537
13,Karnataka,17,9947,6657
14,Kerala,14,7983,6123
15,Madhya Pradesh,57,29419,22456
16,Maharashtra,7,12991,11530
17,Manipur,0,0,0
18,Meghalaya,5,1509,462
19,Mizoram,1,83,55
20,Nagaland,0,3,3
21,Odisha,23,15989,9521
22,Puducherry,1,292,83
23,Punjab,3,2430,2061
24,Rajasthan,30,14938,10138
25,Tamil Nadu,14,11679,7225
26,Telangana,0,2731,2731
27,Tripura,1,273,186
28,Uttarakhand,0,0,0
29,Uttar Pradesh,74,90822,34998
30,West Bengal,5,3408,106
31,Andman and Nicobar Islands,0,0,0
32,Arunachal Pradesh,0,0,0
Total,Total,410,299759,162497
